id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
ament-cmake,ament-cmake,ament-cmake,CMake build system for ROS 2 ament packages,,,1,1,,,,Section=devel; Version=2.7.2-2,,,,,,,
ament-cmake-core,ament-cmake-core,ament-cmake-core,CMake build system for ROS 2 ament packages (Core functionality),,,1,1,,,,Section=devel; Version=2.7.2-2,,,,,,,
ament-cmake-python,ament-cmake-python,ament-cmake-python,CMake build system for ROS 2 ament packages (Python extension),,,1,1,,,,Section=devel; Version=2.7.2-2,,,,,,,
python3-ament-cmake-test,python3-ament-cmake-test,python3-ament-cmake-test,Python 3 module for tests in ROS 2 ament packages,,,1,1,,,,Section=python; Version=2.7.2-2,,,,,,,
cmake,cmake,cmake,"cross-platform, open-source make system",,,1,1,,,,Section=devel; Version=3.31.6-2,,,,,,,
python3-ament-package,python3-ament-package,python3-ament-package,Utilities and templates for ROS 2 ament packages,,,1,1,,,,Section=python; Version=0.17.1-2,,,,,,,
python3-catkin-pkg,python3-catkin-pkg,python3-catkin-pkg,Low-level build system macros for Robot OS -- Python 3 module,,,1,1,,,,Section=python; Version=1.0.0-2,,,,,,,
python3-setuptools,python3-setuptools,python3-setuptools,Python3 Distutils Enhancements,,,1,1,,,,Section=python; Version=78.1.1-0.1,,,,,,,
python3:any,python3:any,python3:any,unknown,,,1,1,,,,missing in Packages file,,,,,,,
,,,,,,,,,,,,ament-cmake-core,ament-cmake,Depends,#333,1,Depends,{}
,,,,,,,,,,,,ament-cmake-python,ament-cmake,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-ament-cmake-test,ament-cmake,Depends,#333,1,Depends,{}
,,,,,,,,,,,,cmake,ament-cmake-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-ament-package,ament-cmake-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-catkin-pkg,ament-cmake-core,Depends,#333,1,Depends,{}
,,,,,,,,,,,,ament-cmake-core,ament-cmake-python,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3-setuptools,ament-cmake-python,Depends,#333,1,Depends,{}
,,,,,,,,,,,,ament-cmake-core,python3-ament-cmake-test,Depends,#333,1,Depends,{}
,,,,,,,,,,,,ament-cmake-python,python3-ament-cmake-test,Depends,#333,1,Depends,{}
,,,,,,,,,,,,python3:any,python3-ament-cmake-test,Depends,#333,1,Depends,{}
